floss #	color	R	G	B
ECRU	Ecru	255	247	231
BLANC	White	252	252	255
B5200	Snow White	255	255	255
1	White Tin	239	238	240
2	Tin	197	196	201
3	Medium Tin	176	176	181
4	Dark Tin	156	155	157
5	Light Driftwood	227	204	190
6	Medium Light Driftwood	220	198	184
7	Driftwood	204	184	170
8	Dark Driftwood	157	125	113
9	Very Dark Cocoa	85	32	20
10	Very Light Tender Green	237	254	217
11	Light Tender Green	226	237	181
12	Tender Green	205	217	154
13	Medium Light Nile Green	191	246	224
14	Pale Apple Green	208	251	178
15	Apple Green	209	237	164
16	Light Chartreuse	164	214	124
17	Light Yellow Plum	229	226	114
18	Yellow Plum	217	213	109
19	Medium Light Autumn Gold	247	201	95
20	Shrimp	247	175	147
21	Light Alizarian	215	153	130
22	Alizarian	188	96	78
23	Apple Blossom	237	226	237
24	White Lavender	224	215	238
25	Ultra Light Lavender	218	210	233
26	Pale Lavender	207	200	222
27	White Violet	233	236	252
28	Medium Light Eggplant	125	78	146
29	Eggplant	103	64	118
30	Medium Light Blueberry	109	84	211
31	Blueberry	88	52	163
32	Dark Blueberry	77	46	138
33	Fuchsia	217	83	159
34	Dark Fuchsia	174	66	128
35	Very Dark Fuchsia	115	43	85
150	Bright Red	207	0	83
151	Pink	255	203	215
152	Dark Tawny	225	161	161
153	Lilac	234	197	235
154	Very Dark Red	75	35	58
155	e-not Blue Forge	151	116	182
156	Medium Blue	133	119	180
157	Light Blue	181	184	234
158	Dark Blue	57	48	104
159	Light Petrol Blue	188	181	222
160	Medium Petrol Blue	129	120	169
161	Dark Petrol Blue	96	86	139
162	Light Baby Blue	202	231	240
163	Green	85	122	96
164	Light Green	186	228	182
165	Bright Green	225	244	119
166	Lime Green	173	194	56
167	Khaki Brown	133	93	49
168	Silver Gray	177	174	183
169	Pewter Gray	130	125	125
208	Very Dark Lavender	148	66	167
209	Dark Lavender	186	114	198
210	Medium Lavender	212	159	225
211	Light Lavender	229	189	237
221	Very Dark Shell Pink	121	38	49
223	Light Shell Pink	187	104	100
224	Very Light Shell Pink	226	165	152
225	Ultra Very Light Shell Pink	248	217	205
300	Very Dark Mahogany	108	49	22
301	Medium Mahogany	170	82	55
304	Medium Red	161	12	57
307	Lemon	253	233	73
309	Dark Rose	186	32	68
310	Black	0	0	0
311	Medium Blue	0	42	100
312	Very Dark Baby Blue	31	50	121
315	Medium Dark Antique Mauve	125	66	70
316	Medium Antique Mauve	188	117	127
317	Pewter Gray	109	100	105
318	Light Steel Gray	153	155	157
319	Very Dark Pistachio Green	58	85	59
320	Medium Pistachio Green	96	140	89
321	Red	189	17	54
322	Baby Blue	58	96	157
326	Very Dark Rose	172	28	55
327	Violet	94	15	119
333	Very Dark Blue Violet	110	46	155
334	Medium Baby Blue	96	133	184
335	Rose	214	61	87
336	Blue	12	39	94
340	Medium Blue Violet	153	109	195
341	Light Blue Violet	163	154	215
347	Very Dark Salmon	171	27	51
349	Dark Coral	198	44	56
